Combination,Pct,ValAcc,DurationSec,real+stylegan1_TestAcc,real+stylegan2_TestAcc,real+stylegan_xl_TestAcc,real+sd1_4_TestAcc
real_stylegan1_stylegan2,20,0.99798,10.566919088363647,0.9975,0.998,,
real_stylegan1_stylegan2,40,0.99838,19.65683078765869,0.9978333333333333,0.9982666666666666,,
real_stylegan1_stylegan2,60,0.99842,30.112324237823486,0.9980666666666667,0.9982666666666666,,
real_stylegan1_stylegan2,80,0.99838,39.679070711135864,0.998,0.9984333333333333,,
real_stylegan1_stylegan2,100,0.9985,50.49655747413635,0.9982,0.9985,,
real_stylegan1_stylegan2,20,0.99798,10.240373373031616,0.9975,0.998,0.8335666666666667,0.8827666666666667
real_stylegan1_stylegan2,40,0.99824,21.832074880599976,0.9977333333333334,0.9980666666666667,0.8273666666666667,0.8737333333333334
real_stylegan1_stylegan2,60,0.99856,32.231205224990845,0.9979,0.9982666666666666,0.8233333333333334,0.8686
real_stylegan1_stylegan2,80,0.99824,39.75970196723938,0.9979666666666667,0.9982333333333333,0.8240333333333333,0.8706333333333334
real_stylegan1_stylegan2,100,0.99836,54.3994038105011,0.9982,0.9984333333333333,0.8220666666666666,0.8694
real_stylegan1_stylegan2,20,0.99798,10.272250175476074,0.9975,0.998,0.8335666666666667,0.8827666666666667
real_stylegan1_stylegan2,1,0.9958,0.7188553810119629,0.995,0.9958666666666667,0.8598666666666667,0.9046666666666666
real_stylegan1_stylegan2,5,0.99708,2.5721423625946045,0.9967333333333334,0.9972666666666666,0.8405,0.8907666666666667
